clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
3,abc,19,3960,160,4,4104,1323,4.642,5
3,abc,19,3960,160,4,4104,1323,4.642,5
3,abc,19,3960,160,4,4104,1323,4.642,5
3,leap,19,3960,160,5,4301,1654,4.122,4
3,leap,19,3960,160,5,4301,1654,4.293,4
3,leap,19,3960,160,5,4301,1654,4.131,4
4,abc,19,3960,160,4,4104,1323,4.642,4
4,abc,19,3960,160,4,4104,1323,4.642,4
4,abc,19,3960,160,4,4104,1323,4.642,4
4,leap,19,3960,160,6,4183,1193,5.174,3
4,leap,19,3960,160,6,4183,1193,5.197,3
4,leap,19,3960,160,6,4183,1193,6.12,3
5,abc,19,3960,160,4,4104,1323,4.642,3
5,abc,19,3960,160,4,4104,1323,4.642,3
5,abc,19,3960,160,4,4104,1323,4.642,3
5,leap,19,3960,160,7,4093,858,7.995,2
5,leap,19,3960,160,7,4093,858,7.939,2
5,leap,19,3960,160,7,4093,858,6.761,2
6,abc,19,3960,160,4,4104,1323,4.642,2
6,abc,19,3960,160,4,4104,1323,4.642,2
6,abc,19,3960,160,4,4104,1323,4.642,2
6,leap,19,3960,160,9,4093,860,7.204,2
6,leap,19,3960,160,9,4093,860,7.326,2
6,leap,19,3960,160,9,4093,860,8.014,2
7,abc,19,3960,160,4,4104,1323,4.642,2
7,abc,19,3960,160,4,4104,1323,4.642,2
7,abc,19,3960,160,4,4104,1323,4.642,2
7,leap,19,3960,160,10,4028,732,8.331,1
7,leap,19,3960,160,10,4028,732,7.566,1
7,leap,19,3960,160,10,4028,732,8.625,1
8,abc,19,3960,160,4,4104,1323,4.642,2
8,abc,19,3960,160,4,4104,1323,4.642,2
8,abc,19,3960,160,4,4104,1323,4.642,2
8,leap,19,3960,160,11,4007,567,8.936,1
8,leap,19,3960,160,11,4007,567,9.182,1
8,leap,19,3960,160,11,4007,567,10.149,1
9,abc,19,3960,160,4,4104,1323,4.642,1
9,abc,19,3960,160,4,4104,1323,4.642,1
9,abc,19,3960,160,4,4104,1323,4.642,1
9,leap,19,3960,160,12,3997,436,9.944,1
9,leap,19,3960,160,12,3997,436,10.235,1
9,leap,19,3960,160,12,3997,436,9.864,1
